ch_name,x,y,z,source
C1,-0.036158,-0.0099839,0.089752,standard_1005
C2,0.037672,-0.0096241,0.088412,standard_1005
C3,-0.0653580999999999,-0.0116317,0.064358,standard_1005
C4,0.0671179,-0.0109003,0.06358,standard_1005
C5,-0.0802801,-0.0137597,0.02916,standard_1005
C6,0.0834559,-0.0127763,0.0292079999999999,standard_1005
CP1,-0.0355131,-0.0472919,0.091315,standard_1005
CP2,0.0383838,-0.0470731,0.090695,standard_1005
CP3,-0.0635562,-0.0470088,0.065624,standard_1005
CP4,0.0666118,-0.0466372,0.06558,standard_1005
CPz,0.0003858,-0.047318,0.099432,standard_1005
Cz,0.0004009,-0.009167,0.100244,standard_1005
FC1,-0.0340619,0.0260111,0.0799869999999999,standard_1005
FC2,0.0347841,0.0264379,0.078808,standard_1005
FC3,-0.0601818999999999,0.0227162,0.0555439999999999,standard_1005
FC4,0.0622931,0.0237228,0.05563,standard_1005
FCz,0.0003761,0.02739,0.088668,standard_1005
Fz,0.0003122,0.058512,0.066462,standard_1005
P1,-0.0286203,-0.0805249,0.075436,standard_1005
P2,0.0319197,-0.0804870999999999,0.0767159999999999,standard_1005
POz,0.0002156,-0.1021779999999999,0.050608,standard_1005
Pz,0.0003247,-0.0811149999999999,0.082615,standard_1005
